Latitude,Longitude,LongitudeTimes2,station,StartTime,EndTime,norm_lat,norm_long,Elevation
49.24,-121.76,-243.52,AGASSIZ RCS,1998,2017,0.082217973,0.621562156,20
49.03,-122.36,-244.72,ABBOTSFORD A,1998,2017,0.062141491,0.588558856,58
53.49,-130.64,-261.28,BONILLA ISLAND (AUT),1998,2017,0.488527725,0.133113311,0
52.13,-119.29,-238.58,BLUE RIVER CS,1998,2017,0.358508604,0.757425743,680
49.35,-124.16,-248.32,BALLENAS ISLAND,2000,2017,0.092734226,0.489548955,0
54.38,-125.96,-251.92,BURNS LAKE DECKER LAKE,1998,2017,0.573613767,0.390539054,711
50.14,-123.11,-246.22,CALLAGHAN VALLEY,2005,2017,0.168260038,0.54730473,923
51.94,-131.02,-262.04,CAPE ST JAMES,1998,2017,0.340344168,0.112211221,0
52.19,-127.47,-254.94,CATHEDRAL POINT (AUT),1998,2017,0.364244742,0.307480748,0
51.12,-121.5,-243,CLINTON (AUT),1998,2013,0.261950287,0.635863586,732
49.61,-115.78,-231.56,CRANBROOK A,1998,2017,0.117590822,0.95049505,935
49.72,-124.9,-249.8,COMOX A,1998,2017,0.128107075,0.448844884,27
53.03,-131.6,-263.2,CUMSHEWA ISLAND,1998,2017,0.444550669,0.080308031,0
55.74,-120.18,-240.36,DAWSON CREEK A,1998,2017,0.703632887,0.708470847,652
49.08,-116.5,-233,CRESTON CAMPBELL SCIENTIFIC,1998,2017,0.066921606,0.910891089,641
48.42,-123.23,-246.46,DISCOVERY ISLAND,1998,2017,0.003824092,0.54070407,0
58.43,-130.03,-260.06,DEASE LAKE (AUT),2005,2017,0.960803059,0.166666667,863
49.21,-123.81,-247.62,ENTRANCE ISLAND,1998,2017,0.079349904,0.50880088,0
49.38,-126.54,-253.08,ESTEVAN POINT CS,1998,2017,0.095602294,0.358635864,11
48.43,-123.44,-246.88,ESQUIMALT HARBOUR,1998,2017,0.004780115,0.529152915,0
58.84,-122.6,-245.2,FORT NELSON A,2005,2017,1,0.575357536,364
50.45,-125.99,-251.98,FANNY ISLAND,2001,2017,0.19789675,0.388888889,18
56.24,-120.74,-241.48,FORT ST JOHN A,1998,2017,0.751434034,0.677667767,685
54.58,-130.7,-261.4,GREY ISLET (AUT),1998,2017,0.592734226,0.129812981,0
54.17,-130.36,-260.72,HOLLAND ROCK,1999,2017,0.553537285,0.148514851,0
50.94,-127.63,-255.26,HERBERT ISLAND (AUT),1998,2017,0.244741874,0.298679868,0
49.37,-121.5,-243,HOPE A,2005,2017,0.094646272,0.635863586,38
49.96,-119.38,-238.76,KELOWNA,1998,2017,0.151051625,0.752475248,419
49.49,-123.3,-246.6,HOWE SOUND - PAM ROCKS,1998,2017,0.106118547,0.536853685,0
50.7,-120.45,-240.9,KAMLOOPS A,1998,2017,0.221797323,0.693619362,341
54.26,-133.06,-266.12,LANGARA ISLAND RCS,1998,2016,0.562141491,0,0
